title,location,company,salary
"Data Scientist Technical Lead, Engineering",San Bruno,Google,121500.0
Software Engineer (Machine Learning),San Francisco,Clerkie,125000.0
Machine Learning Engineer,San Francisco,Synapse Financial Technologies Inc,115000.0
"Senior Software Engineer, Data",San Francisco,Sensor Tower,146500.0
Construction Control Representative,San Francisco,US Department of the Army,104090.5
"Cybersecurity Data Scientist, Cyber Risk Analytics -San Mate...",San Mateo,"Guidewire Software, Inc.",157000.0
"Senior Manager, Marketing Analytics (Advanced & Data Science...",San Bruno,Walmart eCommerce,154500.0
"Software Engineer, Data BE Dev",San Carlos,Oportun,142500.0
Manager - Developer Platform Data Science,San Francisco,Uber,148500.0
Fullstack Software Engineer - Talent Products,San Francisco,Uber,154500.0
Data Scientist - Machine Learning Specialist,San Carlos,Upstart,125000.0
Planning and Research Analyst,Redwood City,San Mateo County Community College District,110664.0
Lecturer - Sutardja Center for Entrepreneurship & Technology,Berkeley,University of California Berkeley,110100.0
"Senior Software Development Engineer, Machine Learning",San Francisco,Zillow Group,148500.0
Senior Business Analyst - Fraud Analytics,San Carlos,Oportun,96000.0
Bioinformatics Scientific Quality Engineer,Redwood City,QIAGEN,103000.0
"Sr. Product Manager, Big Data Platform",San Francisco,Sony Interactive Entertainment PlayStation,142000.0
Software Engineer I - II,South San Francisco,FivePrime Therapeutics,117000.0
"VP, Data Scientist",Chicago,Synchrony,127500.0
Eicoff - Data Scientist,Chicago,Ogilvy,120500.0
Data Scientist,Itasca,KEYENCE,86500.0
Data Scientist,Chicago,Reputation.com,116500.0
Data Scientist,Melrose Park,1-800-Flowers.com,89000.0
Data Scientist Architect,Chicago,Insight,114000.0
Data Science Engineer,Chicago,Nielsen,130000.0
Data Scientist - Decision Sciences Personal Valuation team,Chicago,Conversant Media,121000.0
Head of Data Science,Chicago,Numerator,161000.0
"Director, Data Scientist, Natural Language Processing",Chicago,KPMG,102000.0
"Cardinal Path | Intermediate Consultant, Data Science",Chicago,Dentsu Aegis Network,90000.0
Lead Data Science Engineer,Chicago,Nielsen,138500.0
Manager Grid Intelligence & Data Science (Exelon Utilities),Oak Brook,Exelon,162000.0
